tags,instruction,category,intent,response,pure_unicode,mixed_unicode,romanized,pure_unicode_rev,__index_level_0__
BIL,where can I activate a credit card online?,CARD,activate_card,"I'm here to assist you with activating your credit card online. To activate your credit card, please follow these steps:

1. Visit the official website of the credit card issuer.
2. Look for the ""Login"" or ""Sign In"" option on the website.
3. Enter your username and password to access your account.
4. Once logged in, navigate to the ""Card Management"" or ""Services"" section.
5. Locate the option to ""Activate a Card"" or ""Card Activation"" and click on it.
6. Provide the required information, such as the card number, expiration date, and CVV code.
7. Follow any additional prompts or security measures to complete the activation process.
8. Once the activation is successful, you'll receive a confirmation message.

If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to help!",म अनलाइन क्रेडिट कार्ड कसरी सक्रिय गर्न सक्छु?,म online credit card कसरी activate गर्न सक्छु?,ma online credit card kasari activate garna sakchu?,,748
BL,I need assistance to activate a credit card online,CARD,activate_card,"I'm here to help you with activating your credit card online. To get started, please follow these steps:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password. If you don't have an account yet, you can easily create one by clicking on the ""Sign Up"" button.
3. Once you're logged in, navigate to the ""Account"" or ""Profile"" section.
4. Look for the option to activate a new credit card. It may be labeled as ""Activate Card"" or something similar.
5. Click on the activation option and provide the necessary details, such as the credit card number, expiration date, and CVV code.
6. Review the information you entered and submit it.
7. You may be asked to set up a PIN for your card as an additional security measure. Follow the prompts to complete the process.
8. Once you've successfully activated your credit card, you'll receive a confirmation message or email.

If you encounter any issues or need further assistance, please reach out to our customer support team at {{Customer Support Phone Number}}. They are available {{Customer Support Working Hours}} and will be happy to assist you throughout the process.

We appreciate your choice to activate your credit card with us. If there's anything else we can help you with, please don't hesitate to ask!",मलाई अनलाइन क्रेडिट कार्ड सक्रिय गर्न सहयोग चाहिन्छ।,मलाई online credit card activate गर्न assistance चाहिन्छ।,malai online credit card activate garna sahayog chaiyo.,,749
BCILQZ,wanna activate a credit acrd on mobile where to do it,CARD,activate_card,"I'm here to help you activate your credit card on mobile. To activate your credit card, follow these steps:

1. Download and open our mobile banking app from your app store.
2. Log in to your account using your username and password. If you haven't registered yet, you can create a new account by following the on-screen instructions.
3. Once you're logged in, navigate to the ""Cards"" section of the app.
4. Look for the credit card you want to activate and select it.
5. You should see an option to activate the card. Click on it.
6. Follow the prompts and provide any necessary information, such as the card number, CVV, and expiration date.
7. Once you've completed the activation process, you'll receive a confirmation message.

If you encounter any difficulties or require further assistance, please don't hesitate to let me know. I'm here to make sure your credit card activation goes smoothly!","म मोबाइलमा क्रेडिट कार्ड सक्रिय गर्न चाहन्छु, म कहाँ गर्न सक्छु?","म mobile मा credit card activate गर्न चाहन्छु, म कहाँ गर्न सक्छु?","ma mobile ma credit card activate garna chahanchu, ma kaha garna sakchu?",,750
BCILQZ,i got to activate a visa whdre can i do it,CARD,activate_card,"I'm here to help you activate your {{Credit Card}}. To do that, you can follow these steps:

1. First, locate the activation sticker on your {{Credit Card}}. It's usually found on the front or back of the card.

2. Give a call to the activation number provided on the sticker or in the accompanying activation instructions. They will guide you through the activation process.

3. Alternatively, you can visit the website of the bank or financial institution that issued your {{Credit Card}}. Look for the ""Activate Card"" or similar option on their website, and follow the instructions to activate your card online.

Remember, if you encounter any difficulties or have any questions during the activation process, feel free to reach out. I'm here to provide any assistance you may need!","मलाई भिसा सक्रिय गर्नुपर्छ, म कहाँ गर्न सक्छु?","मलाई visa activate गर्नुपर्छ, म कहाँ गर्न सक्छु?","malai visa activate garnu parcha, ma kaha garna sakchu?",,751
BCLQZ,wanna activate an master card i need assistance,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}}. It's great that you're taking this step! To activate your card, please follow these simple instructions:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your username and password. If you haven't created an account yet, you'll need to sign up first.
3. Once you're logged in, navigate to the ""Cards"" or ""Account"" section.
4. Look for the option to activate a new card. It might be labeled as ""Activate Card,"" ""Card Activation,"" or something similar.
5. Click on the activation option and follow the on-screen instructions.
6. You may need to provide some details, such as the card number, expiration date, and CVV code. These details are usually printed on the card itself.
7. Once you've entered the required information, click on the ""Activate"" button.
8. Congratulations! Your {{Credit Card}} is now activated and ready to use.

If you encounter any difficulties or have additional questions during the activation process, don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

Thank you for choosing our service, and enjoy using your new {{Credit Card}}!","म मास्टर कार्ड सक्रिय गर्न चाहन्छु, मलाई सहायता चाहिन्छ।","म master card activate गर्न चाहन्छु, मलाई assistance चाहिन्छ।","ma master card activate garna chahanchu, malai sahayata chaiyo.",,752
BCILPQZ,I'd like to activate a master card can uhlep me,CARD,activate_card,"I'm happy to help! I'm here to assist you with activating your {{Credit Card}}. To activate your card, you can follow these simple steps:

1. Find the activation instructions that came with your {{Credit Card}}. It could be a sticker on the card or a separate document.
2. Visit the website or call the phone number provided on the instructions.
3. Follow the prompts or provide the necessary information to activate your card.
4. If you encounter any issues or have further questions during the activation process, don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}}. They will be more than happy to assist you.

Please note that different financial institutions or card issuers may have slightly different activation processes, so it's important to refer to the specific instructions provided with your {{Credit Card}}.

Once your card is activated, you'll be able to start using it for your purchases. Enjoy the convenience and benefits of your new {{Credit Card}}! If there's anything else I can assist you with, feel free to let me know.","म मास्टर कार्ड सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","म master card activate गर्न चाहन्छु, के तपाई मलाई help गर्न सक्नुहुन्छ?","ma master card activate garna chahanchu, ke tapai malai help garna saknuhunchha?",,753
BIPQZ,could ya help me activate an card,CARD,activate_card,"I'd be more than happy to assist you in activating your card. Please follow these steps:

1. Download the mobile app for your card issuer from the App Store or Google Play Store.
2. Open the app and sign in to your account using your username and password.
3. Navigate to the ""Card Activation"" section within the app.
4. Enter the required card details, such as the card number, expiration date, and CVV code.
5. Follow the on-screen prompts to verify your identity and complete the activation process.

If you encounter any issues or need further assistance, please don't hesitate to let me know.",के तपाई मलाई कार्ड सक्रिय गर्न मद्दत गर्न सक्नुहुन्छ?,के तपाई मलाई card activate गर्न help गर्न सक्नुहुन्छ?,ke tapai malai card activate garna maddat garna saknuhunchha?,,754
BCIZ,"I have to activate an Amex, hpw to do it?",CARD,activate_card,"I'm here to assist you with activating your American Express card. Activating your {{Credit Card}} is a quick and easy process. Here's what you need to do:

1. Find the sticker on your new card that contains the activation phone number or the website URL.
2. If it's a phone number, dial the number provided and follow the automated instructions to activate your card. If it's a website URL, visit the website and look for the ""Card Activation"" section.
3. Provide the necessary information, such as your card number, expiration date, and security code.
4. Follow any additional prompts or instructions provided to complete the activation process.

If you encounter any issues during the activation or have any questions, feel free to reach out to our support team at {{Customer Support Phone Number}}. They're available to assist you {{Customer Support Working Hours}}. Congratulations on your new American Express card!","मलाई अमेक्स सक्रिय गर्नुपर्छ, म कसरी गर्न सक्छु?","मलाई Amex activate गर्नुपर्छ, म कसरी गर्न सक्छु?","malai Amex activate garnu parcha, ma kasari garna sakchu?",,755
BLQZ,i got to activate  a visa,CARD,activate_card,"I can assist you with activating your {{Credit Card}}. Let me guide you through the process:

1. Find the activation website or phone number provided with your {{Credit Card}}.
2. Visit the website or call the activation number.
3. Follow the instructions provided to activate your card.
4. You may be asked to provide your card details, personal information, and create a PIN.
5. Once you complete the activation process, your {{Credit Card}} will be ready to use.

If you encounter any issues or have further questions, feel free to ask. I'm here to help!",मलाई भिसा सक्रिय गर्नुपर्छ।,मलाई visa activate गर्नुपर्छ।,malai visa activate garnu parcha.,,756
BCL,"I want to activate a credit card online, I need help",CARD,activate_card,"I'm here to assist you with activating your credit card online. Activating your credit card online is a convenient and straightforward process. Here's what you need to do:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your credentials. If you don't have an account yet, you can easily create one by following the prompts.
3. Once you're logged in, navigate to the ""Account"" or ""Credit Cards"" section.
4. Look for the option to activate your credit card. It might be labeled as ""Activate Card"" or something similar.
5. Click on the activation button and follow the on-screen instructions.
6. You may need to provide some information, such as your card details or personal identification, to verify your identity.
7. Once you've completed the activation process, your credit card should be ready to use!

If you encounter any difficulties during the activation process or have any further questions, feel free to reach out to our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website. We're here to help you every step of the way!","म अनलाइन क्रेडिट कार्ड सक्रिय गर्न चाहन्छु, मलाई मद्दत चाहिन्छ।","म online credit card activate गर्न चाहन्छु, मलाई help चाहिन्छ।","ma online credit card activate garna chahanchu, malai maddat chaiyo.",,757
BCILPQZ,id ilke to activate a visa how could i do it,CARD,activate_card,"I can help you with activating your {{Credit Card}}. To activate your card, please follow these simple steps:

1. Locate the activation sticker on your card. It is usually located on the front or the back.
2. Dial the toll-free activation number provided on the sticker. It is usually mentioned as a dedicated activation hotline.
3. Follow the prompts and provide the necessary information, such as your card number, expiration date, and any additional security details requested.
4. Once the activation process is complete, you will receive a confirmation message or email.

If you encounter any difficulties during the activation process, please don't hesitate to reach out to our customer support at {{Customer Support Phone Number}}. They will be more than happy to assist you further.

Congratulations on your new {{Credit Card}}, and thank you for choosing us as your financial partner!","म भिसा सक्रिय गर्न चाहन्छु, म कसरी गर्न सक्छु?","म visa activate गर्न चाहन्छु, म कसरी गर्न सक्छु?","ma visa activate garna chahanchu, ma kasari garna sakchu?",,758
BCLPQZ,id like to activate a credit card onlinw help me,CARD,activate_card,"I can help you with that! Activating your credit card online is a simple process. Here's what you need to do:

1. Visit the website of your credit card issuer.
2. Look for the ""Activate Card"" or ""Card Activation"" section on their website.
3. Click on the link or button to start the activation process.
4. You may be asked to enter your card details, such as the card number, expiration date, and security code.
5. Follow the on-screen instructions to complete the activation process.
6. Once the activation is successful, you will receive a confirmation message.

If you encounter any issues during the process, don't hesitate to reach out to the customer support team of your credit card issuer. They will be more than happy to assist you further.","म अनलाइन क्रेडिट कार्ड सक्रिय गर्न चाहन्छु, मलाई मद्दत गर्नुहोस्।","म online credit card activate गर्न चाहन्छु, मलाई help गर्नुहोस्।","ma online credit card activate garna chahanchu, malai help garnuhos.",,759
BCIPQZ,wanna activate a amex on mobile could i get some help,CARD,activate_card,"I'll do my best! I'm here to assist you with activating your {{Credit Card}} on a mobile device. 
To activate your {{Credit Card}}, you can follow these simple steps:

1. Download the Bank Mobile App}} from the App Store or Google Play Store.
2. Open the app and log in to your account using your username and password.
3. Navigate to the ""Account Services"" or ""Settings"" section.
4. Look for the ""Card Activation"" or ""Activate Card"" option.
5. Follow the on-screen instructions to enter the required details, such as your card number, expiration date, and security code.
6. Once you've entered the necessary information, tap on the ""Activate"" button.
7. You'll receive a confirmation message informing you that your {{Credit Card}} has been successfully activated.

If you face any difficulties during the activation process, don't hesitate to reach out to our {{Customer Support Team}}. They are available to assist you and answer any questions you may have.","म मोबाइलमा अमेक्स सक्रिय गर्न चाहन्छु, के म केही मद्दत पाउन सक्छु?","म mobile मा Amex activate गर्न चाहन्छु, के म केही help पाउन सक्छु?","ma mobile ma amex activate garna chahanchu, ke ma kehi maddat paun sakchu?",,760
BCIL,"I have to activate a Master Card, how do I do it?",CARD,activate_card,"I'm happy to assist you with activating your MasterCard! Let me guide you through the process:

1. Locate the sticker on the front of your MasterCard. It should contain a phone number or website for activation.
2. Give the phone number a call or visit the website provided.
3. Follow the prompts or instructions given to activate your card.
4. You may need to provide some personal information, such as your card number, expiration date, and CVV code. This is to ensure the security of your account.
5. Once you've completed the activation process, your MasterCard will be ready to use!

If you have any trouble or need further assistance, feel free to reach out to our customer support team at {{Customer Support Phone Number}}. They're available 24/7 and will be happy to help you activate your card.","मलाई मास्टर कार्ड सक्रिय गर्नुपर्छ, म कसरी गर्न सक्छु?","मलाई Master Card activate गर्नुपर्छ, म कसरी गर्न सक्छु?","malai master card activate garnu parne, ma kasari garna sakchu?",,761
BCIL,"I got to activate a credit card online, where to do it?",CARD,activate_card,"I'm happy to help! I'm here to assist you with activating your credit card online. To activate your credit card, you'll need to follow these steps:

1. Visit the {{Credit Card Activation}} page on our website.
2. Locate and click on the option that says ""{{Activate Now}}"" or ""{{Card Activation}}"".
3. You will be prompted to enter your card details, such as the card number, expiration date, and CVV code.
4. After entering the required information, click on ""{{Submit}}"" or ""{{Activate}}"".
5. If everything is entered correctly, your credit card will be successfully activated.

If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to help!","मलाई क्रेडिट कार्ड अनलाइन सक्रिय गर्नुपर्छ, म कहाँ गर्न सक्छु?","मलाई credit card अनलाइन activate गर्नुपर्छ, म कहाँ गर्न सक्छु?","malai credit card online activate garnu parne, ma kaha garna sakchu?",,762
BCPQ,id like to activate an amex help me,CARD,activate_card,"Without a doubt! I'm here to assist you with activating your American Express card. Activating your card is quick and easy. Here are the steps to get it done:

1. Visit the American Express website or open the {{Bank App}}.
2. Go to the ""Activate Card"" section. You will find this option under your account or in the main menu.
3. Enter the required information, such as your card number, security code, and any other details as prompted.
4. Review the terms and conditions, if provided, and accept them.
5. Once you've entered all the necessary details, submit the information.
6. Your card should now be activated, and you can start using it for your purchases.

If you encounter any issues or need further assistance during the activation process, feel free to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to help you out.

Happy shopping with your newly activated American Express card!","म एमेएक्स सक्रिय गर्न चाहन्छु, मलाई मद्दत गर्नुहोस्।","म Amex activate गर्न चाहन्छु, मलाई help गर्नुहोस्।","ma amex activate garna chahanchu, malai help garnuhos.",,763
BLQZ,i want help to activate a ccredit card online,CARD,activate_card,"I'm here to help you activate your credit card online. Here are the steps you can follow:

1. Visit the official website of your credit card provider.
2. Sign in to your online account using your username and password.
3. Look for the ""Account"" or ""Manage Cards"" section.
4. Locate your credit card that needs activation.
5. Click on the ""Activate"" or ""Activate Card"" option next to your credit card.
6. Follow any on-screen prompts or instructions to complete the activation process.
7. Once activated, you should receive a confirmation message.

If you encounter any difficulties during the process or have any further questions, please let me know. I'm here to assist you every step of the way!",म अनलाइन क्रेडिट कार्ड सक्रिय गर्न मद्दत चाहन्छु।,म online credit card activate गर्न help चाहन्छु।,ma online credit card activate garna maddat chahanchu.,,764
BILP,could you help me activating a Master Card?,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}}. Let's get your card up and running in no time. Here's what you need to do:

1. Look for the sticker on your {{Credit Card}} that contains the activation instructions. It usually has a phone number or a website.
2. If there's a phone number, you can call it and follow the prompts to activate your card. Make sure to have your card details handy.
3. If there's a website, you can visit it using your computer or mobile device. Follow the on-screen instructions to activate your card. Again, have your card details nearby.

If you run into any issues during the activation process, don't hesitate to reach out to our support team at {{Customer Support Phone Number}}. We're here to help!",के तपाई मलाई मास्टर कार्ड सक्रिय गर्न मद्दत गर्न सक्नुहुन्छ?,के तपाई मलाई Master Card activate गर्न help गर्न सक्नुहुन्छ?,ke tapai malai master card activate garna maddat garna saknuhunchha?,,765
BILZ,how to activate a Master Card online ?,CARD,activate_card,"I'll do my best! I'm here to assist you with activating your Master Card online. Follow these simple steps:

1. Visit the official website of your card issuer.
2. Look for the ""Activate Card"" or ""Card Activation"" option.
3. Click on it to proceed with the activation process.
4. You may be asked to enter your card details, such as the card number, expiration date, and CVV code. Make sure to provide accurate information.
5. Follow any additional instructions or prompts displayed on the screen.
6. Once you've completed the activation process, your Master Card will be ready to use for online transactions.

If you encounter any difficulties during the activation process, I recommend contacting your card issuer's customer service. They will be able to provide you with further assistance.

Let me know if there's anything else I can help you with!",मास्टर कार्ड अनलाइन कसरी सक्रिय गर्ने?,Master Card अनलाइन कसरी activate गर्ने?,master card online kasari activate garne?,,766
BLZ,help me activate an credit card on mobile,CARD,activate_card,"I'm happy to help! I'm here to assist you with activating your credit card on your mobile device. Let's get started!

To activate your credit card on your mobile, you can follow these simple steps:

1. Download and install our mobile banking app from the App Store or Google Play Store.
2. Open the app and log in using your credentials or create a new account if you haven't done so already.
3. Once you're logged in, navigate to the ""Cards"" section or look for an option related to card activation.
4. Select the credit card you want to activate from the list.
5. You may be prompted to provide some additional information, such as your card number, expiration date, and CVV.
6. Follow the on-screen instructions to complete the activation process.
7. Once your credit card is successfully activated, you should be able to start using it right away.

If you encounter any issues during the activation process or have any further questions, feel free to reach out to our customer support team at {{Customer Support Phone Number}}. They'll be more than happy to assist you.

I hope this helps! Let me know if there's anything else I can assist you with.",मलाई मोबाइलमा क्रेडिट कार्ड सक्रिय गर्न मद्दत गर्नुहोस्।,मलाई mobile मा credit card activate गर्न help गर्नुहोस्।,malai mobile ma credit card activate garna help garnuhos.,,767
BCIPQ,I'd like to activate an amex online will uhelp me,CARD,activate_card,"I'm happy to help! I'm here to assist you with activating your {{Credit Card}} online. Activating your card is a simple process. Here's what you need to do:

1. Visit the official website of Amex.
2. Look for the ""Card Activation"" or ""Activate Your Card"" option. It is usually found on the homepage or in the account section.
3. Click on the option and follow the on-screen instructions.
4. You will be asked to provide the necessary details, such as your card number, security code, and personal information.
5. Once you have completed the steps, your {{Credit Card}} will be successfully activated.

If you encounter any difficulties or have further questions during the activation process, feel free to reach out to the Amex customer support team at Bank Customer Support Phone Number}}. They are available Bank Customer Support Working Hours}} to assist you.

Enjoy using your {{Credit Card}}! Let me know if there's anything else I can help you with.","म अनलाइन अमेक्स सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्नुहुन्छ?","म online amex activate गर्न चाहन्छु, के तपाई मलाई help गर्नुहुन्छ?","ma online amex activate garna chahanchu, ke tapai malai maddat garnuhunchha?",,768
BCLZ,"I have to activate a Master Casrd on mobile, I need help",CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. Let's get started. Here's a step-by-step guide:

1. Download and open our mobile banking app from the {{App Store}} or {{Google Play Store}}.
2. Log in to your account using your {{Username}} and {{Password}}.
3. Navigate to the {{Card Management}} or {{Manage Cards}} section.
4. Select the option to activate a new card.
5. Follow the on-screen prompts to enter the necessary information, such as your card details and any verification codes provided.
6. Once you've completed the activation process, you should receive a confirmation message.

If you encounter any issues or need further assistance during the activation process, please don't hesitate to reach out. We're here to help make sure everything goes smoothly.","मलाई मोबाइलमा मास्टर कार्ड सक्रिय गर्नुपर्छ, मलाई मद्दत चाहिन्छ।","मलाई mobile मा master card activate गर्नुपर्छ, मलाई help चाहिन्छ।","malai mobile ma master card activate garnu parne, malai help chaiyo.",,769
BCIP,"I'd like to activate a card online, could you help me?",CARD,activate_card,"I can assist you with activating your card online. Here's what you need to do:

1. Visit our website at {{Company Website URL}}.
2. Log in to your account using your credentials. If you haven't registered yet, you can create a new account.
3. Navigate to the ""Cards"" or ""Account"" section.
4. Look for the option to activate your card.
5. Follow the prompts and provide the necessary information, such as the card number and any verification code mentioned on the card.
6. Once you've completed the activation process, your card will be ready to use.

If you encounter any issues or have further questions, don't hesitate to reach out. I'm here to help make the activation process as smooth as possible!","म अनलाइन कार्ड सक्रिय गर्न चाहन्छु, के तपाई मलाई मद्दत गर्न सक्नुहुन्छ?","म online card activate गर्न चाहन्छु, के तपाई मलाई help गर्न सक्नुहुन्छ?","ma online card activate garna chahanchu, ke tapai malai maddat garna saknuhunchha?",,770
BCIL,"I want to activate a Master Card online, how do I do it?",CARD,activate_card,"I'm here to assist you with activating your Master Card online. It's a simple process. Here's what you need to do:

1. Visit the official website of your Master Card issuer.
2. Look for the ""Activate Card"" or ""Card Activation"" option. It's usually located under the ""Account"" or ""Manage Cards"" section.
3. Click on the option and enter the required information, which may include your card number, expiration date, CVV, and personal details.
4. Follow the on-screen instructions to verify your identity and complete the activation process.

If you encounter any difficulties or have additional questions during the process, feel free to let me know. I'm here to help!","म अनलाइन मास्टर कार्ड सक्रिय गर्न चाहन्छु, म कसरी गर्न सक्छु?","म online Master Card activate गर्न चाहन्छु, म कसरी गर्न सक्छु?","ma online master card sakriya garna chahanchu, ma kasari garna sakchu?",,771
BCILPZ,"I would liketo activate a Visa on mobile, how could I do it?",CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} on your mobile device. The process is simple and convenient. Here's what you can do:

1. Download and install our mobile banking app from the App Store or Google Play Store, depending on your device.
2. Open the app and log in using your credentials. If you don't have an account yet, you can easily sign up for one within the app.
3. Once you're logged in, navigate to the ""Cards"" or ""Accounts"" section. This might be located under a menu or sidebar.
4. Look for the option to ""Activate a Card"" or ""Add a Card."" Tap on it.
5. You'll be prompted to enter the necessary details for your {{Credit Card}}, such as the card number, CVV, and expiration date. Please make sure to double-check the information for accuracy.
6. Follow the on-screen instructions to complete the activation process. This might include setting a PIN or confirming your identity through an authentication method.
7. Once you've successfully completed the activation, you should receive a confirmation message or notification indicating that your {{Credit Card}} is now active on your mobile device.

If you encounter any difficulties or have further questions during the process, please don't hesitate to reach out to our customer support team. They are available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Company Website URL}}.

Happy activating!","म मोबाइलमा भिसा सक्रिय गर्न चाहन्छु, म यसलाई कसरी गर्न सक्छु?","म mobile मा Visa activate गर्न चाहन्छु, म यसलाई कसरी गर्न सक्छु?","ma mobile ma visa activate garna chahanchu, ma yaslai kasari garna sakchu?",,772
BLZ,I want help acitvating a Visa online,CARD,activate_card,"I'm here to assist you with activating your {{Credit Card}} online. Activating your card is a simple process and can be done in a few easy steps. Here's what you need to do:

1. Visit the website of the bank or financial institution that issued your {{Credit Card}}.
2. Log in to your online banking account using your username and password.
3. Look for the ""Cards"" or ""Account Services"" section within your online banking portal.
4. Find the option to ""Activate Card"" or ""Card Activation"".
5. Provide the necessary information, such as your card number, expiration date, and CVV (the three-digit code on the back of the card).
6. Follow any additional prompts or security measures, such as confirming your identity or setting a PIN.
7. Once you've completed the activation process, your {{Credit Card}} should now be ready to use!

If you encounter any difficulties during the activation process or have any further questions, feel free to reach out to the bank's customer support team. They will be more than happy to assist you.",म अनलाइन भिसा सक्रिय गर्न मद्दत चाहन्छु।,म online Visa activate गर्न help चाहन्छु।,ma online visa activate garna maddat chahanchu.,,773
BCILPQZ,igot to activate a visa online where could i do it,CARD,activate_card,"I'm here to guide you through the process of activating your {{Credit Card}} online. To activate your {{Credit Card}}, please follow these steps:

1. Visit the website of the bank or financial institution that issued your {{Credit Card}}.
2. Look for the ""Activate Card"" or ""Card Activation"" section on their website.
3. Click on the appropriate link to begin the activation process.
4. You will be prompted to provide some information, such as your card number, expiration date, and CVV code. Make sure to have your card handy.
5. Once you have entered the required information, click on the ""Activate"" or ""Submit"" button.
6. The bank or financial institution will validate the information you provided and activate your {{Credit Card}}.
7. You may be asked to create a PIN for your card during the activation process. Follow the instructions provided.

If you encounter any issues or need further assistance, don't hesitate to contact the customer support team of your bank or financial institution. They will be more than happy to assist you with the activation process.

Remember to keep your card information secure and never share it with anyone. If you have any other questions or concerns, feel free to ask. I'm here to help!","मलाई भिसा अनलाइन सक्रिय गर्नुपर्छ, म कहाँ गर्न सक्छु?","मलाई visa अनलाइन activate गर्नुपर्छ, म कहाँ गर्न सक्छु?","malai visa online activate garnu parne, ma kaha garna sakchu?",,774
BCLZ,"I want to activate a Visa , I need help",CARD,activate_card,"I'm glad you reached out for assistance with activating your {{Credit Card}}. I'm here to help! To activate your {{Credit Card}}, you can follow these simple steps:

1. Locate the activation instructions that came with your {{Credit Card}}. It could be a sticker on the card itself or a separate document.

2. Visit the website or call the phone number provided on the activation instructions. These contact details will be specific to the financial institution or bank that issued your {{Credit Card}}.

3. Follow the prompts or instructions provided to complete the activation process. You may be required to enter your card information, personal details, and create a PIN.

4. Once you've successfully completed the activation process, your {{Credit Card}} will be ready to use for online and in-person transactions.

If you encounter any issues during the activation process or have any further questions, feel free to let me know. I'm here to provide any additional assistance you may need.","म भिसा सक्रिय गर्न चाहन्छु, मलाई मद्दत चाहिन्छ।","म Visa activate गर्न चाहन्छु, मलाई help चाहिन्छ।","ma visa activate garna chahanchu, malai maddat chaiyo.",,775
BILPZ,could you help me to activate aMaster Card online?,CARD,activate_card,"I'm here to assist you with activating your MasterCard online. It's a quick and easy process. Just follow these steps:

1. Visit the official website of your bank or financial institution.
2. Log in to your online banking account using your credentials.
3. Navigate to the ""Card Services"" or ""Account Management"" section.
4. Look for the option to activate your new MasterCard.
5. Enter the necessary information, such as the card number, expiration date, and security code.
6. Follow any additional steps or instructions provided on the screen.
7. Once you've completed the activation process, your MasterCard will be ready to use!

If you face any difficulties during the activation process, feel free to reach out to the customer support team of your bank. They will be more than happy to assist you further. Enjoy your new MasterCard and all the benefits it provides!",के तपाई मलाई अनलाइन मास्टर कार्ड सक्रिय गर्न मद्दत गर्न सक्नुहुन्छ?,के तपाई मलाई online master card activate गर्न help गर्न सक्नुहुन्छ?,ke tapai malai online master card activate garna maddat garna saknuhunchha?,,776
BCIPQZ,need to actiavte an amex could i get some help,CARD,activate_card,"I'm here to assist you with activating your American Express (Amex) card. Getting your card up and running is a breeze. Here's what you need to do:

1. Download the official {{Bank App}} from your device's app store.
2. Open the app and sign in to your {{Bank Account}}. If you don't have an account yet, you can easily create one.
3. Navigate to the ""Account"" or ""Profile"" section within the app.
4. Look for the option to activate your card. It may be labeled as ""Activate Card,"" ""Card Activation,"" or something similar.
5. Follow the on-screen prompts to enter the necessary card details, such as the card number, expiration date, and security code.
6. Once you've entered the required information, tap on the ""Activate"" or ""Submit"" button.
7. Voila! Your {{Credit Card}} should now be activated and ready to use.

If you encounter any difficulties or need further guidance during the activation process, please don't hesitate to let me know. I'll be more than happy to provide additional assistance.","मलाई अमेक्स सक्रिय गर्नुपर्छ, के म केही मद्दत पाउन सक्छु?","मलाई Amex activate गर्नुपर्छ, के म केही help पाउन सक्छु?","malai amex activate garnu parne, ke ma kehi maddat paun sakchu?",,777
BILQ,where do i activate a credit card on mobile,CARD,activate_card,"I can help you with that! Activating your credit card on a mobile device is quick and easy. Here's what you need to do:

1. Open the {{Credit Card Activation}} app on your mobile device.
2. If you haven't downloaded the app yet, you can find it in the {{App Store}} (for iOS) or {{Google Play Store}} (for Android). Just search for ""{{Credit Card Activation}}"" and look for our official app.
3. Once you have the app installed, open it and log in using your {{Username}} and {{Password}}. If it's your first time using the app, you may need to create a new account.
4. After logging in, select the option for ""{{Activate Card}}"" or something similar. It may be located in the main menu or under the ""{{Manage Cards}}"" section.
5. Follow the on-screen prompts to enter your credit card details, such as the card number, expiration date, and CVV code.
6. Once you've entered the required information, review it carefully and confirm the activation.
7. Congratulations! Your credit card should now be activated and ready to use.

If you encounter any issues during the activation process or if you need further assistance, please don't hesitate to reach out to our customer support team. They're available {{Customer Support Working Hours}} at {{Customer Support Phone Number}} or through the live chat on our website at {{Company Website URL}}.",मोबाइलमा क्रेडिट कार्ड कसरी सक्रिय गर्ने?,mobile मा credit card कसरी activate गर्ने?,mobile ma credit card kasari activate garne?,,778
BCIPQ,need to activate an amex online where could i do it,CARD,activate_card,"I'm here to assist you in activating your {{Credit Card}} online. Here's what you need to do:

1. Visit the official website of Amex.
2. Look for the ""Activate Card"" option on the homepage or in the navigation menu.
3. Click on the ""Activate Card"" link to proceed.
4. You will be prompted to enter your card details, such as the card number, expiration date, and security code.
5. Follow the on-screen instructions and provide any additional information required.
6. Once you've completed the activation process, your {{Credit Card}} will be ready to use!

If you encounter any difficulties or have further questions, feel free to let me know. I'm here to help!","मलाई अनलाइन अमेक्स सक्रिय गर्नुपर्छ, म कहाँ गर्न सक्छु?","मलाई online amex activate गर्नुपर्छ, म कहाँ गर्न सक्छु?","malai online amex activate garnu parne, ma kaha garna sakchu?",,779
